,,LUCAS spade sampling method,,,,,,,,,,,,Gouge auger sampling method,,,,,,,,,,,,,
"Sampling
locatgion",Land cover,Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",,
58,deciduous forest,53092,8,44,48,93.6,626,6.2,24.6,87.9,7.44,7.2,24.6,53252,10,48,42,92.2,568,5.5,36.3,58.9,7.26,7.1,52.1,,
59,deciduous forest,53127,36,55,9,54.2,0,4.1,0,361,6.4,6.1,20.5,53287,34,54,12,52.9,3,4,3.9,272.5,6.5,6.3,23.2,,
60,deciduous forest,53132,29,56,15,75.7,0,5.8,9.7,139.5,6.24,6,30.2,53292,31,54,16,58,2,4.9,7.8,83.7,6.22,6,17.2,,
61,deciduous forest,53134,21,37,42,18.6,0,1.9,4.9,178,5.13,4.7,15.8,53294,19,35,47,18,0,1.9,6.3,135.8,5.15,4.7,13.1,,
62,deciduous forest,53136,18,58,23,53.8,661,3.9,11.4,136.9,7.75,7.4,49.6,53296,18,52,31,43.4,662,3.4,11.1,98.3,7.74,7.2,35.1,,
63,deciduous forest,53142,25,63,12,65.1,99,5.6,7.9,128.2,7.5,7.3,35,53302,26,61,13,50.4,120,5,12.2,106.4,7.4,7.1,34.6,,
64,deciduous forest,53145,34,56,10,40.7,7,3.4,4.4,306.1,7.05,6.8,34.9,53305,37,49,14,31.1,2,2.7,4.1,262.2,6.62,6.4,16.2,,
65,deciduous forest,53150,27,57,17,75.6,284,5.3,11,334.2,7.42,7.2,26.8,53310,28,55,17,68.8,198,4.9,13.5,328.8,7.24,6.9,21.6,,
66,deciduous forest,53152,23,66,10,29.1,1,2.5,4.9,111.3,6.27,6,19.6,53312,29,59,11,25.1,2,2.3,0,83.5,6.67,6.4,14.2,,
67,deciduous forest,53160,26,59,15,50.1,200,5.1,13.5,150.9,7.48,7.2,50.6,53320,22,56,22,55.1,232,5.2,23.7,162.1,7.35,7.2,57.7,,
68,meadow,53001,18,42,40,41.9,137,4.2,8.8,124.8,7.57,7.2,43.2,53161,21,46,33,44.7,123,4,12.7,187.8,7.6,7.4,45.2,,
69,meadow,53002,10,37,52,25.2,0,2.9,25.9,76,4.33,3.9,28.7,53162,16,53,31,24.6,3,2.7,15.9,66.6,5.86,5.5,25.8,,
70,meadow,53004,8,48,44,23.7,0,4.9,17.4,66.9,5.4,5.1,30,53164,9,48,43,29.5,0,6.6,23.4,71.9,5.42,5.2,46.7,,
71,meadow,53013,6,53,41,55.9,127,6.1,24.4,59,7.7,7.5,81.4,53173,7,52,41,62,117,6.5,31.1,60,7.19,7.2,90.1,,
72,meadow,53014,8,54,38,81.8,1,7.4,27.9,73.9,5.04,4.7,31.4,53174,8,52,40,94.1,0,8.6,32.6,86.2,4.77,4.5,52.5,,
73,meadow,53016,12,69,20,61.2,64,7.3,39.2,80,7.35,7.2,69,53176,12,70,18,65.1,64,7.8,26.9,62.3,7.16,7.1,67.7,,
74,meadow,53021,21,56,23,29.7,8,3.5,8.5,73.7,7.45,7.1,31.7,53181,21,56,23,26.2,6,3.1,8.3,58.3,7.02,6.9,29.9,,
75,meadow,53025,24,54,22,28.3,1,3.6,60,289.4,6.43,6.2,33.8,53185,27,53,20,25.6,0,3.2,56.8,165.4,6.13,5.9,41.7,,
76,meadow,53027,19,55,26,28.7,0,3.6,15.5,96.1,5.51,5.1,39.7,53187,21,57,22,29.6,0,3.8,21.4,82,5.93,5.7,44.6,,
77,meadow,53029,20,58,22,29.1,0,3.8,31.9,477.4,5.53,5.2,54.5,53189,22,57,21,26,0,3.4,30,300,5.19,4.9,50.1,,
78,meadow,53032,19,42,39,18,0,2.2,77.8,173.6,5.07,4.7,20.1,53192,22,43,35,16.8,1,2.2,78.3,131.3,4.91,4.5,19.4,,
79,meadow,53035,9,45,45,41.8,0,5,42.1,98.3,4.84,4.6,50,53195,10,44,47,29.2,0,3.6,30.7,76.7,5.18,4.9,34.8,,
80,meadow,53037,20,53,28,51.7,410,5.4,35.2,92.7,7.71,7.3,47.9,53197,19,57,24,54.8,390,6.8,53,110.2,7.32,7.1,62.6,,
81,meadow,53038,16,64,21,41.1,103,5.6,15.2,76.9,7.52,7.2,55.5,53198,17,67,16,43.7,76,5.8,16.6,65.8,7.23,7.2,57.8,,
82,meadow,53041,19,58,23,48.1,11,6.2,14.9,94.5,6.95,6.7,51,53201,23,57,21,42.3,17,5.5,13.6,77.1,7.12,7,42.4,,
83,meadow,53043,25,62,12,70.3,95,7.7,12.2,178.5,7.35,7.1,54.2,53203,26,61,13,77.3,98,8.4,19.2,199.5,7.28,7.1,64.3,,
84,meadow,53048,13,51,36,40.6,1,4.6,62,217.3,6.19,6,69.1,53208,14,53,33,34.9,0,4.2,49.4,137.8,6.04,5.8,60.5,,
85,meadow,53053,25,56,18,42.8,1,4.9,21.5,120,4.79,4.5,40.7,53213,25,56,19,43.1,0,4.8,17.4,97.8,4.74,4.4,29.5,,
86,meadow,53060,18,50,32,42.4,0,4.9,71.6,127.8,6.11,5.8,41.3,53220,18,53,29,44.3,1,5.3,71.5,127.7,6.12,6,56.8,,
87,meadow,53073,10,49,42,37.5,2,4.3,50.4,375.3,6.84,6.6,46,53233,10,50,39,40.8,2,4.9,68.3,411,6.36,6.2,63.4,,
88,meadow,53074,18,63,19,55.3,24,7,36.7,147.9,6.89,6.6,80.5,53234,18,62,20,68.5,5,8.9,50.6,102.1,6.37,6.3,113,,
89,meadow,53083,13,48,39,36.3,0,4.2,84.2,417.5,5.99,5.5,14.5,53243,15,50,35,28.4,0,3.5,72.1,396.4,6.17,5.9,12.7,,
90,meadow,53084,19,46,35,19,0,2.2,67.1,194.9,6.32,5.9,6.9,53244,19,52,30,18.1,0,2.2,64.5,97.2,6.1,5.7,14.9,,
91,meadow,53088,13,35,52,13,0,1.7,15.9,72.3,6.04,5.7,10.9,53248,13,34,53,13.6,0,1.7,16.8,47.2,6.33,6,6.5,,
92,meadow,53095,16,49,35,21.9,0,2.8,43.7,90.2,5,4.7,47.4,53255,18,50,32,20.2,0,2.6,26.6,60.6,5.69,5.3,8.5,,
93,meadow,53096,28,55,17,20.7,0,2.8,53.4,125.3,5.02,4.7,36.2,53256,26,55,19,20.6,0,2.8,58.4,101.5,5.07,4.8,31.6,,
94,meadow,53101,27,59,14,49.8,189,3.4,13.8,202,7.59,7.3,18.6,53261,30,53,18,26.9,189,3.3,16.4,123.3,7.39,7.1,16.6,,
95,meadow,53103,16,48,36,23.2,6,2.6,68.6,76.9,6.97,6.8,29.5,53263,15,51,34,23.3,0,2.8,70.3,57.8,6.59,6.3,31,,
96,meadow,53106,17,48,34,22.4,1,2.7,27.1,242.9,5.85,5.5,33.2,53266,15,49,36,24.9,0,3.2,37.9,178.9,5.65,5.4,31.5,,
97,meadow,53107,23,58,19,23.5,0,3,42.4,88.8,6.53,6.3,29.7,53267,21,59,20,24.9,0,3.2,43.3,79.2,6.45,6.2,14.2,,
98,meadow,53113,40,52,8,26.9,235,3.3,14.1,213.3,7.7,7.4,26.1,53273,42,50,8,27.1,213,3.2,16.7,154.9,7.65,7.3,28.9,,
99,meadow,53116,22,46,32,24.4,0,2.9,9.2,91.4,4.97,4.4,8.7,53276,21,46,33,23.6,0,2.8,6.6,62.8,5.07,4.4,4.9,,
100,meadow,53117,15,50,35,33.7,94,4.1,26.6,90.2,7.49,7.3,39.7,53277,14,51,35,37.7,73,4.6,37.2,63.3,7.23,7.6,25.4,,
101,meadow,53118,23,65,13,100.8,53,8.2,93.2,359.7,7.35,7.2,58.6,53278,22,65,13,102.8,49,8.7,109.3,352.9,7.29,7.2,66.3,,
102,meadow,53121,28,67,6,32.4,0,3.7,26.9,129.9,5.19,4.8,28,53281,29,65,6,29.9,0,3.6,26.9,141.6,5.08,5,34.6,,
103,meadow,53124,24,53,22,25.8,0,3.1,82.6,114.4,5.69,5.4,43,53284,23,57,21,24.7,0,3.1,83.1,143.1,5.5,5.3,47.7,,
104,meadow,53125,14,54,32,29.1,0,3.9,51.6,159.7,5.46,5.1,45.1,53285,13,54,34,24.7,0,3.3,44.4,92,5.81,5.5,29.7,,
105,meadow,53133,23,60,16,35.3,0,4.2,20.6,247.8,5.17,4.8,37.1,53293,20,61,19,32.7,0,4,28.6,176.9,4.98,4.7,50.1,,
106,meadow,53137,20,73,7,55.6,10,6.4,14.6,158,7.25,7,49.1,53297,21,70,8,52.4,12,6.2,16.1,143.1,7.19,6.9,37.9,,
107,meadow,53147,20,49,32,37.4,0,3.1,49.9,89.1,4.18,3.9,32.4,53307,20,47,33,31.1,0,2.8,48.2,84.2,4.15,3.9,27.7,,
108,meadow,53148,26,52,22,23.5,0,2.9,10.5,145.3,6.11,5.7,8.6,53308,25,52,23,19.9,0,2.6,10.5,116.8,5.9,5.5,6.7,,
109,meadow,53156,17,45,39,29,20,3.3,6.6,88.2,7.12,7,24.9,53316,17,45,38,29.5,19,3.6,9.7,118.7,7.05,7,25.2,,
110,mixed forest,53026,19,52,29,83.5,383,6.1,19,478.8,7.44,7.3,66.6,53186,23,56,21,91.7,226,7,18.9,416.5,7.31,7.2,73.5,,
111,mixed forest,53033,24,51,25,96.7,0,6.5,9.5,298.5,5.73,5.5,50.6,53193,22,45,33,115,7,7.1,10,332.1,6.08,5.9,63.4,,
112,mixed forest,53047,12,56,32,93.4,358,7.2,21.2,85.8,7.28,7.2,46.4,53207,14,55,31,128.5,280,8,21.6,87,7.15,7.1,64.1,,
113,mixed forest,53067,20,59,21,31.1,1,2.8,6.7,58.4,4.55,4.1,24.2,53227,21,58,21,28.6,0,2.7,11.5,51.7,4.57,4.2,25.2,,
114,mixed forest,53078,6,60,34,9.3,70,0.5,0,79.3,8.06,7.4,12.1,53238,6,57,37,5.6,93,0.4,0,47.7,8.04,7.4,13.5,,
115,mixed forest,53079,22,52,26,73.8,0,5.1,6.5,140.6,5.78,5.5,43.3,53239,23,50,27,63.5,0,4.2,5.3,97.1,5.86,5.6,34,,
116,mixed forest,53080,13,56,31,49.7,139,4.5,13.3,87.5,7.45,7.2,41.2,53240,13,54,33,33.6,165,3.5,8.3,58.2,7.32,7.2,39.8,,
117,mixed forest,53081,24,48,28,30.3,26,2.3,0,101.5,7.48,7.1,24.4,53241,24,49,27,35.9,28,2.6,0,62.7,7.31,7,17.4,,
118,mixed forest,53110,16,36,48,18,0,1.5,0,67.4,4.94,4.3,6,53270,16,33,51,15,0,1.3,6,47.7,5.34,4.7,4.3,,
119,mixed forest,53129,20,46,34,44.9,0,3.3,0,97.5,6.35,6.1,32.9,53289,20,46,34,32.4,0,2.7,4.6,72.8,5.91,5.7,30.1,,
120,mixed forest,53138,31,62,8,35.5,3,3.1,0,170.3,6.41,6.2,27.7,53298,34,54,12,31.9,4,2.9,0,139.5,6.85,6.5,23,,
121,mixed forest,53146,20,55,25,21.9,0,2.5,37.6,73.1,5.56,5.1,6.7,53306,19,54,27,17.6,0,2.4,44.3,78.3,5.11,5,25.3,,
122,mixed forest,53151,26,52,22,39.1,0,2.8,8.4,143.4,5.32,4.7,10.5,53311,26,52,22,33.8,0,2.7,7.3,99,5.32,4.8,9.4,,
123,mixed forest,53155,24,59,17,46.4,74,4,5.8,73.2,7.48,7.3,41.8,53315,22,59,19,48.4,66,4.2,8.7,88.2,7.3,7.1,42.6,,
124,pasture,53015,8,48,44,105.6,0,7,25.4,121.4,4.28,4.2,59.4,53175,8,50,42,99.2,0,7.2,19.7,142.4,4.29,4.2,80.6,,
125,pasture,53020,22,61,17,51.8,0,5.7,32.4,106,5.49,5.2,47.3,53180,24,58,18,42.1,0,4.8,24,95.9,5.37,5.1,39.1,,
126,pasture,53030,30,54,16,39.1,3,4.4,0,86.1,6.83,6.6,22.3,53190,30,56,14,43.1,3,5,0,73.8,6.43,6.2,31.2,,
127,pasture,53036,12,50,38,69.9,0,6.2,41.9,147.8,4.49,4,29.9,53196,13,50,37,51.2,0,4.6,27.5,92.5,4.38,4,26.5,,
128,pasture,53040,32,56,13,35.8,0,4,6.1,100,5.82,5.5,27.3,53200,33,55,13,34.4,3,4,8.4,83,6.56,6.3,26.8,,
129,pasture,53042,7,42,52,40.8,0,4,27.4,96.2,4.67,4.4,48.1,53202,7,45,47,48.1,0,4.9,35.9,87,4.7,4.4,53.1,,
130,pasture,53046,16,50,35,39.5,0,3.8,18.2,87,5.17,4.8,32.1,53206,16,50,34,39.6,1,3.9,25.6,124.5,5.26,5,41.2,,
131,pasture,53064,17,65,18,85.7,125,8.8,19.7,154.2,7.31,7.1,85.5,53224,16,61,23,104.5,68,10.9,32,186,7.01,6.9,108.9,,
132,pasture,53065,22,64,13,53.2,5,6.5,12.8,144,5.36,5.1,72,53225,22,63,15,57,1,6.7,16.5,213.6,5.44,5.2,63.7,,
133,pasture,53066,23,52,25,94.8,0,8,22.9,141.9,4.46,4.1,37.6,53226,26,53,21,45.7,0,4.8,20,98.3,4.5,4.1,36.3,,
134,pasture,53068,21,56,23,99.6,0,8.3,18,251.9,6.08,5.9,89.2,53228,21,53,26,87.7,0,8,12.9,153,5.93,5.8,74.6,,
135,pasture,53076,18,69,12,60.3,0,5.7,61.9,335.4,5.21,5,90,53236,19,69,11,56,0,5.6,52.6,235.8,5.41,5.1,81.3,,
136,pasture,53085,15,47,38,26.4,0,2.8,16.9,133.7,6.34,6.1,29.8,53245,16,50,33,28,0,3.2,14.2,140.9,6.23,6,38.1,,
137,pasture,53089,21,52,27,25.6,0,3.3,23.2,122.9,5.35,5,27.6,53249,20,49,31,25.9,1,3.8,31.4,156.1,5.96,5.6,36.6,,
138,pasture,53097,23,55,22,22.9,0,3.5,7.2,118.9,4.7,4.5,55.8,53257,24,61,15,32.1,0,3.2,0,75,4.66,4.4,50.5,,
139,pasture,53100,19,68,14,43.9,0,5.1,38.9,222.6,4.71,4.4,51.3,53260,21,68,11,34.8,0,4.3,20.2,124.5,4.7,4.4,31.1,,
140,pasture,53105,19,64,18,35.9,0,4.2,18.3,83.6,4.98,4.3,4.8,53265,19,61,20,38.2,0,4.5,17.6,94.9,4.96,4.3,5,,
141,pasture,53108,26,60,14,41.3,0,4.5,17.1,147.7,4.36,3.9,26.5,53268,28,55,17,43.6,0,4.6,13.7,116.8,4.32,3.9,21.6,,
142,pasture,53115,20,46,33,26.1,0,3.3,30.1,75.5,4.96,4.6,25.7,56275,20,45,36,29.7,0,3.6,21.7,61.2,5.13,4.6,10.4,,
143,pasture,53119,22,55,22,27.9,0,3.5,23.2,125.2,6.42,6.3,37.2,53279,21,56,23,26.9,1,3.5,21.7,91.2,6.5,6.3,34.8,,
144,pasture,53120,20,57,23,68,0,7.1,40.1,182.5,4.73,4.5,59.7,53280,20,56,24,57.4,0,6.6,44.7,140.4,5.08,4.7,34.3,,
145,pasture,53123,24,58,18,38.2,0,4.7,5.3,112.4,6.37,6.2,25.5,53283,22,58,20,39.2,0,5.3,9.9,99.6,6.25,6.1,38.3,,
146,pasture,53126,22,58,19,66.6,0,5.6,7.8,138.8,7.18,7,42.8,53286,18,61,21,74,0,6.4,9.9,81.8,6.85,6.6,51.8,,
147,pasture,53130,28,63,9,51.3,0,5.6,10.9,227.8,6.13,5.9,47.4,53290,29,60,11,45.2,98,5.2,12.5,176.8,7.07,7,51.7,,
148,pasture,53135,28,59,13,42.8,178,3,0,227,7.7,7.4,25.2,53295,30,54,16,45.8,135,2.7,9.8,208,7.61,7.2,17.5,,
149,pasture,53139,27,63,9,49.2,60,6,167.8,496.4,7.12,7,72.4,53299,28,60,11,48.7,53,5.7,172.7,529.8,7.02,6.8,64.3,,
150,pasture,53157,31,52,17,33.3,207,3.1,16.9,275.1,7.54,7.3,29.2,53317,25,56,19,47.3,210,4.9,96,428.5,7.18,7,60.8,,
